0.01, 0.01321124, 0, 6.179406, 0, -0.0005988401565085936214740732, 60798.23, -1003.467, -3.95279, 0.004901078, 0.07899523, 332.1492, 1.30911, 1.192726, 1.571966
 
0.02, 0.1411576, 0.0001321124, 6.175692, 0, -0.00645945165304398409320, 60672.46, -1004.055, -3.95279, 0.004901078, 0.07899523, 331.8557, 1.308674, 1.192726, 1.571966
 
0.03, 0.1293692, 0.001543689, 6.179884, 0, -0.0062065389385184784076341974, 60547.2, -1005.927, -3.95279, 0.004901078, 0.07899523, 331.5632, 1.308323, 1.192726, 1.571966
 
0.04, 0.1152227, 0.002837381, 6.184179, 0, -0.00582087431949228515772, 60422.45, -1007.817, -3.95279, 0.004901078, 0.07899523, 331.2715, 1.307981, 1.192726, 1.571966
 
0.05, 0.0992038, 0.003989608, 6.188559, 0, -0.00531875021412422988512, 60298.21, -1009.722, -3.95279, 0.004901078, 0.07899523, 330.9808, 1.307646, 1.192726, 1.571966
 
0.05999999, 0.08176691, 0.004981645, 6.193018, 0, -0.0047162559927124805316628239, 60174.46, -1011.641, -3.95279, 0.004901078, 0.07899523, 330.691, 1.307317, 1.192726, 1.571966
 
0.06999999, 0.06338719, 0.005799314, 6.197528, 0, -0.0040315956861189331868711052, 60051.12, -1013.57, -3.95279, 0.004901078, 0.07899523, 330.4018, 1.306992, 1.192726, 1.571966
 
0.07999999, 0.04452804, 0.006433186, 6.202105, 0, -0.003283680821261179877978, 59928.27, -1015.511, -3.95279, 0.004901078, 0.07899523, 330.1135, 1.306671, 1.192726, 1.571966
 
0.08999999, 0.02565055, 0.006878466, 6.206715, 0, -0.0024925036495639713167034649, 59805.92, -1017.458, -3.95279, 0.004901078, 0.07899523, 329.8261, 1.306353, 1.192726, 1.571966
 
0.09999999, 0.007159106, 0.007134972, 6.21135, 0, -0.001676612146148212651725, 59684.08, -1019.411, -3.95279, 0.004901078, 0.07899523, 329.5396, 1.306036, 1.192726, 1.571966
 
0.11, -0.01055036, 0.007206563, 6.215996, 0, -0.0008552564411083129588215985, 59562.72, -1021.366, -3.95279, 0.004901078, 0.07899523, 329.2541, 1.305721, 1.192726, 1.571966
 
0.12, -0.02711168, 0.007101059, 6.22064, 0, -0.00004735490563126171028614, 59441.76, -1023.322, -3.95279, 0.004901078, 0.07899523, 328.9691, 1.305404, 1.192726, 1.571966
 
0.13, -0.04222652, 0.006829943, 6.225284, 0, 0.000730868161653339508926, 59321.29, -1025.28, -3.95279, 0.004901078, 0.07899523, 328.685, 1.305014, 1.192726, 1.571966
 
0.14, -0.05564069, 0.006407677, 6.229907, 0, 0.00146443579446488827534, 59201.31, -1027.235, -3.95279, 0.004901078, 0.07899523, 328.4019, 1.304623, 1.192726, 1.571966
 
0.15, -0.06716209, 0.00585127, 6.234488, 0, 0.0021399003276182962780937956, 59081.72, -1029.185, -3.95279, 0.004901078, 0.07899523, 328.1193, 1.304237, 1.192726, 1.571966
 
0.16, -0.07666999, 0.005179649, 6.239043, 0, 0.002746636716991579597856, 58962.62, -1031.132, -3.95279, 0.004901078, 0.07899523, 327.8377, 1.303856, 1.192726, 1.571966
 
0.17, -0.08404685, 0.00441295, 6.243543, 0, 0.00327369853189220403588, 58844.01, -1033.07, -3.95279, 0.004901078, 0.07899523, 327.557, 1.30348, 1.192726, 1.571966
 
